,yearNm,hsnNm,prizenm,cnt
0,2021,基隆市,千萬特獎,1
1,2021,新竹縣,四獎,80
2,2022,苗栗縣,三獎,74
3,2023,基隆市,五獎,14
4,2020,臺中市,雲端發票五百元獎,178
5,2021,新北市,雲端發票八百元獎,87
6,2019,臺北市,四獎,77
7,2021,苗栗縣,雲端發票兩千元獎,96
8,2023,宜蘭縣,二獎,8
9,2023,花蓮縣,二獎,3
10,2023,新竹市,五獎,8
11,2019,南投縣,五獎,78
12,2021,嘉義縣,雲端發票兩千元獎,93
13,2021,彰化縣,三獎,126
14,2020,南投縣,雲端發票兩千元獎,70
15,2020,嘉義市,五獎,12
16,2021,宜蘭縣,雲端發票五百元獎,78
17,2021,高雄市,千萬特獎,10
18,2020,高雄市,雲端發票五百元獎,207
19,2020,彰化縣,六獎,156
20,2021,新北市,特獎,9
21,2020,花蓮縣,三獎,43
22,2020,屏東縣,二獎,29
23,2020,高雄市,雲端發票兩千元獎,185
24,2020,雲林縣,二獎,19
25,2020,臺南市,三獎,176
26,2022,雲林縣,頭獎,4
27,2022,新竹市,二獎,17
28,2023,新北市,三獎,46
29,2023,彰化縣,雲端發票五百元獎,52
30,2019,臺北市,五獎,77
31,2020,嘉義市,雲端發票兩千元獎,12
32,2023,新竹市,四獎,6
33,2019,花蓮縣,特獎,2
34,2020,金門縣,雲端發票五百元獎,30
35,2020,臺東縣,雲端發票五百元獎,83
36,2021,南投縣,特獎,1
37,2022,彰化縣,雲端發票八百元獎,156
38,2020,高雄市,二獎,92
39,2020,臺北市,特獎,19
40,2021,苗栗縣,五獎,108
41,2023,屏東縣,頭獎,2
42,2020,苗栗縣,雲端發票五百元獎,108
43,2021,新竹市,六獎,26
44,2019,新竹市,千萬特獎,1
45,2019,臺東縣,雲端發票兩千元獎,67
46,2020,新竹縣,三獎,53
47,2022,彰化縣,頭獎,6
48,2022,臺北市,四獎,78
49,2019,花蓮縣,三獎,48
50,2021,嘉義縣,五獎,108
51,2020,嘉義縣,雲端發票五百元獎,108
52,2021,金門縣,雲端發票五百元獎,30
53,2021,南投縣,頭獎,2
54,2020,南投縣,四獎,77
55,2021,新竹縣,三獎,55
56,2020,桃園市,特獎,7
57,2021,雲林縣,千萬特獎,2
58,2023,基隆市,四獎,14
59,2019,臺北市,雲端發票兩千元獎,77
60,2020,臺南市,四獎,219
61,2021,基隆市,雲端發票八百元獎,21
62,2021,臺北市,雲端發票五百元獎,78
63,2019,彰化縣,千萬特獎,3
64,2020,屏東縣,三獎,125
65,2020,雲林縣,雲端發票兩千元獎,101
66,2021,臺中市,特獎,8
67,2023,新北市,五獎,58
68,2022,高雄市,六獎,228
69,2020,新竹縣,雲端發票兩千元獎,71
70,2020,高雄市,五獎,215
71,2020,臺北市,雲端發票兩千元獎,78
72,2021,嘉義縣,四獎,107
73,2019,臺中市,二獎,101
74,2019,臺北市,三獎,75
75,2020,宜蘭縣,雲端發票百萬元獎,1
76,2020,桃園市,頭獎,20
77,2020,雲林縣,雲端發票五百元獎,120
78,2020,新竹市,頭獎,2
79,2021,屏東縣,三獎,112
80,2021,臺北市,六獎,78
81,2022,臺北市,二獎,70
82,2022,臺東縣,雲端發票百萬元獎,2
83,2023,基隆市,雲端發票五百元獎,14
84,2023,新竹市,雲端發票百萬元獎,2
85,2019,南投縣,二獎,20
86,2020,臺南市,五獎,227
87,2023,宜蘭縣,六獎,24
88,2023,花蓮縣,雲端發票八百元獎,24
89,2023,臺南市,三獎,59
90,2019,屏東縣,六獎,174
91,2020,新竹縣,五獎,84
92,2021,桃園市,六獎,78
93,2022,臺南市,六獎,228
94,2019,新竹市,五獎,30
95,2020,嘉義市,三獎,12
96,2021,屏東縣,雲端發票五百元獎,180
97,2021,新竹縣,雲端發票百萬元獎,4
98,2021,臺中市,四獎,176
99,2023,基隆市,雲端發票兩千元獎,14
100,2023,嘉義市,頭獎,1
101,2019,南投縣,四獎,76
102,2019,宜蘭縣,三獎,61
103,2020,臺北市,雲端發票百萬元獎,29
104,2021,花蓮縣,千萬特獎,1
105,2021,連江縣,五獎,24
106,2023,澎湖縣,頭獎,1
107,2019,花蓮縣,五獎,66
108,2019,連江縣,六獎,18
109,2019,宜蘭縣,雲端發票五百元獎,26
110,2020,連江縣,雲端發票五百元獎,20
111,2019,新竹市,雲端發票兩千元獎,26
112,2019,嘉義市,六獎,12
113,2020,南投縣,五獎,78
114,2020,新竹市,千萬特獎,1
115,2019,新竹縣,六獎,84
116,2020,新北市,二獎,92
117,2020,臺東縣,六獎,96
118,2021,苗栗縣,四獎,105
119,2022,新竹縣,頭獎,4
120,2020,雲林縣,三獎,85
121,2021,桃園市,雲端發票百萬元獎,11
122,2021,新竹縣,五獎,84
123,2021,嘉義縣,特獎,1
124,2023,雲林縣,六獎,40
125,2020,苗栗縣,六獎,108
126,2020,新竹縣,雲端發票五百元獎,81
127,2020,臺北市,五獎,78
128,2021,苗栗縣,特獎,1
129,2021,新竹縣,雲端發票兩千元獎,77
130,2021,臺東縣,四獎,82
131,2020,桃園市,千萬特獎,7
132,2020,臺南市,雲端發票百萬元獎,2
133,2021,連江縣,雲端發票兩千元獎,16
134,2022,南投縣,雲端發票百萬元獎,1
135,2023,宜蘭縣,雲端發票八百元獎,24
136,2023,新竹市,雲端發票兩千元獎,6
137,2019,花蓮縣,雲端發票兩千元獎,53
138,2020,新竹縣,二獎,28
139,2021,宜蘭縣,六獎,78
140,2019,臺中市,六獎,180
141,2020,屏東縣,四獎,166
142,2020,基隆市,雲端發票百萬元獎,1
143,2020,嘉義縣,六獎,108
144,2021,屏東縣,五獎,178
145,2022,新北市,六獎,174
146,2020,宜蘭縣,頭獎,3
147,2019,花蓮縣,雲端發票五百元獎,22
148,2019,苗栗縣,頭獎,4
149,2019,基隆市,雲端發票百萬元獎,2
150,2020,臺北市,四獎,78
151,2021,花蓮縣,雲端發票百萬元獎,1
152,2021,彰化縣,雲端發票兩千元獎,147
153,2022,苗栗縣,雲端發票五百元獎,108
154,2019,宜蘭縣,雲端發票兩千元獎,70
155,2023,南投縣,二獎,6
156,2019,金門縣,二獎,2
157,2020,連江縣,六獎,21
158,2020,雲林縣,四獎,120
159,2020,臺中市,六獎,180
160,2021,新竹縣,千萬特獎,3
161,2020,花蓮縣,雲端發票兩千元獎,57
162,2020,高雄市,三獎,188
163,2020,臺南市,雲端發票兩千元獎,182
164,2021,金門縣,四獎,29
165,2022,臺中市,千萬特獎,10
166,2023,新北市,雲端發票兩千元獎,56
167,2021,新竹縣,二獎,22
168,2022,新竹縣,特獎,3
169,2022,嘉義縣,雲端發票百萬元獎,1
170,2019,新北市,千萬特獎,14
171,2020,南投縣,三獎,56
172,2020,雲林縣,五獎,120
173,2021,屏東縣,雲端發票兩千元獎,158
174,2021,臺南市,雲端發票八百元獎,111
175,2023,桃園市,二獎,18
176,2020,彰化縣,雲端發票五百元獎,156
177,2022,嘉義市,千萬特獎,2
178,2022,臺東縣,千萬特獎,2
179,2023,金門縣,六獎,10
180,2023,南投縣,六獎,26
181,2022,嘉義縣,雲端發票八百元獎,108
182,2022,臺南市,雲端發票五百元獎,228
183,2023,彰化縣,六獎,52
184,2023,臺北市,特獎,6
185,2023,澎湖縣,雲端發票百萬元獎,1
186,2019,宜蘭縣,五獎,78
187,2019,桃園市,六獎,78
188,2019,雲林縣,雲端發票五百元獎,40
189,2019,臺東縣,四獎,75
190,2020,新北市,三獎,141
191,2021,金門縣,五獎,30
192,2021,臺東縣,五獎,92
193,2022,臺北市,三獎,78
194,2019,彰化縣,六獎,156
195,2020,屏東縣,五獎,169
196,2020,高雄市,四獎,207
197,2021,彰化縣,二獎,36
198,2022,苗栗縣,雲端發票兩千元獎,97
199,2023,高雄市,六獎,76
200,2019,新竹市,雲端發票百萬元獎,2
201,2020,屏東縣,雲端發票兩千元獎,138
202,2021,雲林縣,雲端發票百萬元獎,2
203,2022,苗栗縣,五獎,108
204,2022,基隆市,二獎,11
205,2022,新竹市,三獎,18
206,2023,屏東縣,雲端發票八百元獎,65
207,2023,臺南市,四獎,74
208,2019,金門縣,六獎,30
209,2019,南投縣,三獎,54
210,2019,基隆市,六獎,42
211,2019,臺南市,三獎,173
